3cqn	3702
3da4	562
2vt4	9103
2vql	1718
3da3	562
3f8l	246196
3da2	9606
3f8k	273057
3ct2	220664
2vqk	1718
3cqk	562
3cqj	562
2vt1	623
2vt1	623
3cqi	562
2vt0	9606
2wa0	9606
3da0	35345, 100641
2vqh	1718
3f8h	292414
3cqh	562
2vqg	1718
3f8g	9606
3cpz	5833
3f8f	416870
3cqf	1392
3cpx	269798
3f7x	160488
3f7w	269800
2vqd	287
2vqc	244589
2vpv	4932
3f8c	416870
3f8b	416870
3cpu	9606
2vpu	53953
2vqa	1148
2vpt	1515
3cps	353152
2vps	5664
3f7r	9606
2vpr	747
3cpr	1718
2vs8	2274
3f7q	9606
2vpq	1280
3cpq	2190
2vpp	7227
3cpp	303
3f7p	9606
3f7p	9606
2vs7	2274
2vpo	2746
2vs6	3677
3cpo	303
2vs5	9913
2vpn	2746
3cs5	1140
3f7n	83333
3rpb	10116
3rnt	5062
3rn3	9913
3rdn	8201
3rat	9913
4a3h	76935
8lyz	9031
3pvi	585
8lpr	69
3ptn	9913
3ptb	9913
3psr	9606
3prn	1075
3pjr	1422
8ldh	7797
3pgt	9606
3pgm	4932
3pga	65406
3pdz	9606
3pcy	3691
3ovo	93934
3pcd	303
3pcd	303
3paz	511
3pat	8010
3pal	8010
3r1r	562
3nuc	1280
3nla	8201
3ncm	10116
3msp	6253
3msi	8199
3mon	3457
3mon	3457
8icz	9606
8icx	9606
8icw	9606
8icv	9606
8icu	9606
8ict	9606
8ics	9606
8icr	9606
8icq	9606
8icp	9606
8ico	9606
8icn	9606
8icm	9606
8icl	9606
8ick	9606
8ici	9606
8ich	9606
8icg	9606
8icf	9606
8ice	9606
8icc	9606
8icb	9606
8ica	9606
3lyt	9031
3lym	9031
3mef	469008
3mds	274
3lz2	9103
18gs	9606
3mcg	9606
3mbp	83333
3mba	6502
3lri	9606
3lpr	69
3lhm	9606
3ldh	7797
17gs	9606
3lad	354
7znf	9606
3kpa	5664
3kop	290399
3kog	435590
3kny	226186
199l	10665
3kmi	272563
198l	10665
3kn3	844
3kkj	323
3kkg	290400
3kjk	491
3kjj	491
3kin	10116
3kin	10116
3kk7	226186
3kk4	257313
3kgz	395960
3jzv	269796
192l	10665
3kfw	1773
3jys	435590
3kez	435590
3jyf	272620
3kh1	272627
3kdw	435590
3kdq	1717
3kg4	221988
3jwj	240292
3jwh	240292
3jvo	37554
3kcn	265606
3jvn	312309
3juw	520
3jvd	1718
3jvc	273119
3jur	2336
3jx9	262543
3jx8	435591
3juq	269483
3jup	269483
3juo	269483
3jun	269483
3jum	269483
3ke2	326297
3jtx	122587
3kaw	287
3kav	287
3kd4	435591
3jtk	9606
3jtj	214092
3jte	203119
3jsr	103690
3jsj	227882
3jrt	650003
3jsa	50339
3ju2	382
3jrk	301447
3ju1	211586
3ka7	2209
3jt0	9606
3js9	484906
3js4	212042
3jr7	411470
3jr1	205914
3jq1	435590
3jq0	435590
187l	10665
186l	10665
185l	10665
8est	9823
180l	10665
3ixc	212042
3iwh	93062
3iwg	167879
3iwf	176280
3iwe	9606
3ivr	1076
3ivp	272563
3ivl	519
3iuz	264198
3ive	217992
3iuw	226185
3ivd	217992
3iuv	100226
3iuu	266779
3ix8	287
3ix7	300852
3iuo	837
3ix4	287
3ix3	287
3iuk	290340
3itk	9606
3isy	1423
3isx	2336
3isu	9606
3isr	269798
3iv8	666
3isq	9606
3iv7	1718
3iv6	272943
3iv4	158879
3iv3	1309
3iv0	226186
3isd	9606
3isc	9606
3irv	264730
3isb	9606
3iru	188908
3isa	519
3irs	518
3iu6	9606
3iu5	9606
3iu2	9606
3iu1	9606
3irh	226185
3ird	441771
3irc	11053
3irb	2287
3iqt	199310
3ipr	1351
3is6	242619
3ipl	158879
3ipi	2209
3ipf	138119
3ir9	2209
3ir8	321802
3ir4	99287
3ir3	9606
3ir1	487
3inu	9606
3inu	9606
3int	573
3ins	9823
3ins	9823
3inr	573
3inp	119856
3iq2	9606
3iq0	217992
3ing	2303
7xim	1866
3imo	45888
3imm	435591
3imk	56780
3ip0	83333
3imi	261594
3imh	272621
3imf	261594
178l	10665
3ilv	269798
3ilu	10116
3ilt	10116
3ilm	103690
3ilk	727
3io1	272620
3io0	431943
3ilh	269798
3ikz	320372
177l	10665
3in6	335541
3in5	9606
3in1	83333
3ikh	272620
3ikg	9606
3ikf	28450
3ijx	10116
3ike	28450
176l	10665
3ikd	9606
3ikb	1309
3ijt	1309
3ijr	261594
3ijp	38323
3ijo	10116
3ijm	504472
3iiz	2336
3iix	2336
3il9	83333
3iiq	83333
3il8	9606
3il7	1280
3il6	1351
3il5	1351
3il4	1351
3il3	727
3il1	10116
3il0	264199
3iii	93062
3iif	9606
3ihx	9606
3iie	502800
174l	10665
3iid	9606
3iic	323850
3ihv	226186
3ihu	264198
3iib	326297
3iht	246200
3ihs	198094
3ihr	9606
3ik8	9606
3ik6	10116
3iho	9606
3ik2	272562
3ihk	1309
3ihj	9606
3igx	177416
173l	10665
3hzu	1773
3igs	90371
3igr	312309
3hzq	196620
3hzp	59920
3ij6	1579
3hzn	99287
3ign	351348
3ij5	214092
3ij3	777
3hzj	9606
3igj	1392
3hzi	83333
3hzi	83333
3igh	53953
3hzg	1773
3igf	103690
3hze	197221
3ifs	261594
3ifr	269796
3hyq	99287
3ii8	292415
3hyo	1590
3ii6	9606
3ii6	9606
3hyn	515619
3hyl	261594
3hyk	1392
3hyj	2336
3hyi	2336
3ii0	9606
3hyg	9606
3ife	261594
3iew	28450
3iev	63363
3hyc	37762
3ieu	83333
3hya	9606
3ieq	28450
3hxp	1423
3ih6	520
3ih5	818
3ih4	2336
3hxl	138119
3ih3	2336
3ih2	2336
3hxj	426368
3ih1	261594
3ih0	53953
3hxi	6183
3idz	300852
3hxg	6183
3ief	38323
3iee	272559
3ieb	666
3idu	2261
3hwu	264198
3hwt	9606
3hwr	264198
3hz8	122586
3ig8	4932
3hz7	49338
3hz6	536
3ig5	4932
3ig4	1392
3hz4	2209
3ig2	817
3hwk	83332
3hwj	10090
3hwi	1773
3idf	844
3hvy	1488
3icx	2287
3hvw	287
3hy9	9606
3icq	4896
3icq	4932
3hy7	9606
3ico	1773
3if5	1270
3if4	32644
3icl	414
3if2	259536
3icj	2261
3ibz	100226
3icf	4932
3hvd	1392
3hvd	1392
3ibv	4896
3icc	261594
3icb	9913
3hvb	208964
3huu	279808
3hva	208964
3hut	269796
3ica	837
3hus	9606
3hus	9606
3hus	9606
3ibs	818
3ibr	287
3hx8	381
3ibq	1590
3ibm	349124
3ie4	7227
3hul	1639
3ie2	300852
3hx1	1148
3ie1	300852
3ie0	300852
3hx0	9606
3huh	90371
3iay	4932
3hty	226186
3ibe	9606
3htx	3702
3hud	9606
3htw	1299
3htv	83333
3iau	4081
3iar	9606
3hw8	9606
3htn	226186
3ian	1360
3id4	83333
3id3	83333
3ial	184922
3id2	83333
3iak	9606
3iaj	290402
3id1	83333
3htc	9606
3htc	9606
3htc	6419
3iac	90371
3hsr	426430
3hv9	208964
3ic8	323
3hv8	208964
3ic7	226186
3ic6	242231
3hsn	10116
3ic5	89184
3ic4	2234
3hsl	37296
3ic3	1076
3hv2	220664
3hv1	264199
3ic1	727
3hv0	353152
3hsi	727
3hrz	9606
3hsf	28985
3hse	426430
3hrx	300852
3hru	1302
3hsa	326297
3hrt	1302
3k9r	103690
3hrp	226186
3ib6	634178
3hro	9606
3ib5	362948
3hu5	882
3hrn	9606
3hrm	426430
3ib3	93062
3hrl	242231
3hrg	226186
3hqz	10116
3hqy	10116
3k9e	217992
3hqx	62977
3hqw	10116
3hqu	9606
3k8r	269796
3hqr	9606
3ia8	9606
3ia5	111291
3ia4	111291
3ht4	226900
3ia3	9606
3ia3	9606
3ht2	67356
3ht1	67356
3ia1	262724
3hqg	562
3hqf	562
3hpw	562
3hs3	1579
3hs0	9606
3hph	36374
3hph	9606
3hpg	36374
3hpg	9606
3hpd	70601
3hpc	10116
3hpb	10116
3hpa	32644
3k6r	53953
3hr9	833
3k6q	335541
3k6o	435590
3hoj	32630
3hr1	10116
3hoi	272559
3hoh	5062
3hof	9606
3hnx	42251,5141,42251
3k6e	1313
3hnw	515620
3hnu	42251,5141,42251
3hoa	262724
3hq9	35554
3hnr	180856
3hq8	35554
3hnq	90371
3hq7	35554
3hq6	35554
3hnn	103690
3hnm	818
3hq2	1423
3hmz	325240
3hmy	1513
169l	10665
3hmu	89184
3hna	9606
3hmq	90371
3hp8	42251,5141,42251
3hp7	264199
3hp4	336179
3hp1	9606
3k4i	323
3k4h	315749
3hmh	9606
3hlz	226186
3hmf	9606
3hme	9606
3hlu	411463
3hlt	9606
3ho8	158878
3ho6	1496
3ho4	9606
3ho3	9606
3k63	134821
3hlk	9606
3hlg	33178
3hlf	33178
3hle	33178
3hkx	501897
3hld	33178
3hlc	33178
3hkv	9606
3hlb	33178
3hn9	9606
3hn5	272559
3hn2	269799
3hn1	1513
3hn0	435591
7wga	4565
3hjz	74546
8dfr	9031
3k1y	1717
3hkf	10090
3hjy	2261
3hjy	2261
3hke	10116
3hjw	2261
3hjw	2261
3hjw	2261
3hkd	10116
3hkc	10116
3hkb	10116
3hka	272558
3hjr	646
3hm8	9606
3hm7	86665
3hm6	9606
3hm6	9606
3hjn	243274
3k44	7227
3hm4	207559
3hm2	1717
3hjk	5141
3hjj	1392
3hm0	38323
3hji	5141
3k0z	222523
3hjg	670
3k0y	435591
3hix	103690
3hjb	666
3hja	224326
3hl9	33178
3hin	1076
3hl5	9606
3him	132919
3hl4	10116
3hl3	1392
3hl1	155892
3hl0	176299
3hif	562
3hia	171101
3hht	33936
3hht	33936
3hk9	272558
3k29	813
3hhq	4932
3hk8	272558
3hhp	83333
3hk7	272558
3hho	666
3hk5	272558
3hk4	381
3hhl	1076
3hhl	1076
3hhl	1076
3hhl	1076
3hk1	10090
3hhj	283166
3k20	1717
3hk0	9606
3hhh	1351
3hhg	491
3hhf	491
2zzx	300852
3hhe	283166
2zzw	300852
2zzv	300852
3hhc	9606
3gzu	28875
3gzu	10969
2zzu	9606
2zzu	9606
2zzu	9606
3hgs	4081
3gzs	272559
2zzr	1311
3hj9	264198
3gzr	155892
3hgr	4081
3hgo	4081
2zzn	2190
2zzm	2190
3gzm	5833
3gzl	5833
3hgl	323
2zzk	4932
3gzk	1388
3k12	287
2zzj	51453
3gzj	4060
3gzi	323850
3gzg	92829
3gyz	623
3gze	3055
2zyw	10090
3gzd	9606
3gzd	9606
3hfv	9606
3hgc	9031
3gzc	9606
2zyv	10090
2zzc	9606
3gyu	6248
3gzb	319224
2zzb	9606
2zyu	10090
3hfu	83333
2zyt	10090
3gyt	6248
3hft	518
2zys	2234
3hfs	29760
3gyr	1890
2zyr	2234
3hi8	2246
3gyq	1904
3hfq	1590
3hfo	1148
3hi5	9606
3hi5	9606
3gym	9606
3gym	9913
3gyl	9606
3gyk	246200
2zyk	2026
2zyj	262724
2zyi	2234
3hfi	217992
3hfh	9606
3gyh	4896
2zyh	2234
3gxz	45916
2zxz	9606
2zyg	573
3gyg	224308
3gxy	45916
2zxy	63363
2zxx	10090
2zxx	10090
3gxx	5478
3hfd	5851
3gyd	265072
2zyd	83333
3gxw	5478
3gyc	435591
2zxv	300852
2zyc	90322
3gyb	1718
2zxu	83333
2zxt	562, 32644, 4932
3gya	262543
2zya	83333
3gxt	9606
3hh8	301447
2zxq	216816
3gxq	367830
3gxp	9606
3gxn	9606
3gxm	9606
3hem	1773
2zxl	3702
2zxk	3702
2zxj	1280
3hh1	1097
2zxi	63363
3gxi	9606
3hh0	226900
3gxh	319224
2zxh	63363
3gxg	319224
3gxf	9606
3gwy	272559
3hdx	226186
3gww	224324
3gxd	9606
3hdv	160488
3gwv	224324
3gwu	224324
3hdu	56780
3heb	269796
2zwu	303
3gxb	9606
2zwt	303
3gxa	487
3hdt	411472
2zws	287
3gwr	292415
3hg9	287
3gz9	9606
3gwq	266265
3gz8	70863
3gz7	518
2zwp	311400
3hdp	1488
3hg7	382245
2zz7	145262
3gwp	386415
3gz6	70863
2zwo	311400
3hdo	269799
3gz5	70863
2zwn	408169
3gwn	212035
2zz5	145262
2zwm	1423
3gz4	217992
2zwl	9606
2zwl	9606
2zwl	9606
2zz3	145262
2zz2	145262
3hdj	520
2zwi	659
2zz0	9606
3hg0	35345
3hg0	32630
3gz0	9606
3gvz	243365
3hdg	844
2zvz	602
3hcy	266834
2zvy	602
3gwe	320372
3gvx	2303
3hcw	158878
3hcv	9606
3hcv	9606
3gwc	1773
3hdc	269799
3gwb	220664
3hcu	9606
3hcu	9606
2zvu	10116
3gvt	10090
2zwa	4932
3hda	556
3gwa	320372
3hct	9606
3hct	9606
3hcs	9606
2zvs	83333
3gy9	262543
2zvr	2336
2zvq	10090
2zvp	10090
3hf7	272620
3gvo	10090
2zy5	32001
2zy4	32001
2zvm	9606
2zvl	9606
2zy3	32001
3hck	9606
2zy2	206121
3hf2	1404
2zvk	9606
2zy1	1280
3gy1	290402
3gvi	359391
2zy0	9606
3gvh	359391
3hbz	226186
3gux	435590
3gve	224308
3hbw	9606
3guw	224325
2zuw	216816
3gvd	632
3gvc	83332
3hcc	9606
3hbv	556
2zuv	216816
3guv	406562
3gvb	83333
3hcb	9606
3hbu	556
2zuu	216816
3hca	9606
3gva	4896
2zut	216816
2zus	216816
3gx9	303
3hbr	573
3guq	210
2zuq	83333
2zup	83333
2zup	83333
3gup	10665
3guo	10665
3gun	10665
3hbn	192222
3gum	10665
3hbm	192222
3gx4	4896
3hbl	158878
3gul	10665
3guk	10665
3he2	1773
2zuk	37486
3hbk	435591
3gx1	272626
3guj	10665
3hbj	3880
3he1	287
3gx0	83333
3gui	10665
3he0	670
3hbh	3329
3guh	83333
